Parsing start
ol: CMSSW_10_6_0_pre3/src/TimeMemory/step3.log, sl: CMSSW_10_6_0_pre4/src/TimeMemory/step3.log
Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
   +0.344279      +0.01%         0.67 ms/ev ->         0.94 ms/ev uncleanedHybridSuperClusters
   +0.336117      +0.06%         3.81 ms/ev ->         5.36 ms/ev standAloneMuons
   +0.335801      +0.01%         0.47 ms/ev ->         0.66 ms/ev cleanedHybridSuperClusters
   +0.334484      +0.07%         4.68 ms/ev ->         6.56 ms/ev refittedStandAloneMuons
   -0.324456      -0.06%         6.02 ms/ev ->         4.34 ms/ev cmsTopTagPFJetsCHS
   +0.314241      +0.01%         0.65 ms/ev ->         0.89 ms/ev particleFlow
   +0.313428      +0.39%        28.89 ms/ev ->        39.63 ms/ev electronGsfTracks
   +0.303729      +0.01%         0.49 ms/ev ->         0.66 ms/ev highPtTripletStepSeeds
   +0.298300      +0.01%         0.43 ms/ev ->         0.58 ms/ev hgcalTrackCollection
   -0.280844      -0.24%        26.86 ms/ev ->        20.25 ms/ev cosmicMuons1Leg
   +0.269139      +0.02%         1.51 ms/ev ->         1.97 ms/ev interestingGamIsoDetIdEB
   +0.259813      +0.03%         2.96 ms/ev ->         3.84 ms/ev ecalDrivenGsfElectrons
   +0.258389      +0.01%         0.55 ms/ev ->         0.72 ms/ev ecalRecHit
   +0.256090      +0.01%         0.90 ms/ev ->         1.16 ms/ev particleFlowClusterOOTECALUncorrected
   +0.244159      +0.01%         0.52 ms/ev ->         0.66 ms/ev lowPtQuadStepHitDoublets
   +0.242176      +0.23%        22.44 ms/ev ->        28.62 ms/ev electronCkfTrackCandidatesFromMultiCl
   +0.237805      +0.01%         1.38 ms/ev ->         1.75 ms/ev hpsPFTauProducerSansRefs
   +0.236882      +0.01%         0.97 ms/ev ->         1.23 ms/ev particleFlowTmpBarrel
   +0.232567      +0.00%         0.45 ms/ev ->         0.57 ms/ev detachedQuadStepHitDoublets
   +0.229156      +0.05%         5.65 ms/ev ->         7.12 ms/ev trackerDrivenElectronSeeds
   +0.224708      +0.01%         0.92 ms/ev ->         1.16 ms/ev particleFlowClusterECALUncorrected
   +0.211859      +0.01%         0.63 ms/ev ->         0.78 ms/ev highPtTripletStepHitDoublets
   +0.210961      +0.02%         2.28 ms/ev ->         2.82 ms/ev gedGsfElectronsTmp
   +0.210142      +0.01%         1.61 ms/ev ->         1.99 ms/ev lowPtGsfElePfGsfTracks
   +0.206955      +0.00%         0.49 ms/ev ->         0.60 ms/ev particleFlowRecHitECAL
   +0.206048      +0.00%         0.49 ms/ev ->         0.60 ms/ev particleFlowRecHitOOTECAL
   +0.203503      +0.04%         5.17 ms/ev ->         6.35 ms/ev ecalDrivenGsfElectronsFromMultiCl
   +0.197109      +0.11%        13.30 ms/ev ->        16.21 ms/ev highPtTripletStepTrackCandidates
   +0.173504      +0.12%        17.03 ms/ev ->        20.27 ms/ev ecalMultiFitUncalibRecHit
   +0.171569      +0.06%         9.05 ms/ev ->        10.75 ms/ev hgcalDigis
   +0.169011      +0.14%        21.16 ms/ev ->        25.07 ms/ev combinatoricRecoTaus
   +0.165597      +0.50%        75.53 ms/ev ->        89.16 ms/ev lowPtGsfElectronSeeds
   +0.159239      +0.19%        30.84 ms/ev ->        36.17 ms/ev electronGsfTracksFromMultiCl
   +0.151599      +0.12%        20.10 ms/ev ->        23.39 ms/ev lowPtGsfEleGsfTracks
   +0.138276      +0.10%        17.61 ms/ev ->        20.23 ms/ev hgcalMultiClusters
   -0.137798      -0.31%        64.98 ms/ev ->        56.60 ms/ev hgcalLayerClusters
   +0.124913      +0.19%        38.60 ms/ev ->        43.75 ms/ev earlyDisplacedMuons
   +0.124240      +0.18%        37.84 ms/ev ->        42.85 ms/ev earlyMuons
   +0.117712      +0.05%        10.04 ms/ev ->        11.30 ms/ev ak4CaloJets
   +0.114531      +0.05%        11.77 ms/ev ->        13.20 ms/ev ak4PFJets
   +0.110401      +0.08%        18.37 ms/ev ->        20.52 ms/ev particleFlowRecHitHGC
   +0.107123      +0.06%        13.60 ms/ev ->        15.14 ms/ev ak8PFJetsCHS
   +0.099970      +0.05%        11.74 ms/ev ->        12.98 ms/ev ak4PFJetsCHS
   +0.089140      +0.02%         6.17 ms/ev ->         6.74 ms/ev initialStepSeeds
   +0.086606      +0.13%        39.49 ms/ev ->        43.06 ms/ev trackExtenderWithMTD
   +0.083369      +0.25%        77.83 ms/ev ->        84.60 ms/ev muons1stStep
   +0.080594      +0.02%         5.24 ms/ev ->         5.68 ms/ev ecalDrivenElectronSeedsFromMultiCl
   +0.077963      +0.04%        15.08 ms/ev ->        16.30 ms/ev unsortedOfflinePrimaryVertices4DnoPID
   +0.077644      +0.04%        12.53 ms/ev ->        13.54 ms/ev trackExtrapolator
   +0.073644      +0.04%        15.19 ms/ev ->        16.35 ms/ev unsortedOfflinePrimaryVertices4Dfastsim
   -0.062939      -0.03%        13.00 ms/ev ->        12.21 ms/ev ecalDrivenElectronSeeds
   +0.060138      +0.03%        14.97 ms/ev ->        15.90 ms/ev unsortedOfflinePrimaryVertices4D
   +0.059900      +3.37%      1494.91 ms/ev ->      1587.22 ms/ev FEVTDEBUGHLToutput
   -0.056779      -0.02%        11.67 ms/ev ->        11.02 ms/ev displacedStandAloneMuons
   +0.056309      +0.03%        12.69 ms/ev ->        13.43 ms/ev initialStepTracks
   +0.051836      +0.03%        15.25 ms/ev ->        16.07 ms/ev unsortedOfflinePrimaryVertices
  ---------- ------------     --------                  ----       ------------
Job total:  2.74116 s/ev ==> 3.00321 s/ev
