Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
   -0.054562      -0.01%       159.81 ms/ev ->       151.32 ms/ev hpsPFTauPUcorrPtSum
   -0.054397      -0.01%       159.96 ms/ev ->       151.49 ms/ev hpsPFTauDiscriminationByTightCombinedIsolationDBSumPtCorr3HitsdR03
   -0.053672      -0.00%         7.56 ms/ev ->         7.16 ms/ev particleFlowEGamma
   -0.053434      -0.01%       158.98 ms/ev ->       150.71 ms/ev hpsPFTauDiscriminationByLooseChargedIsolation
   -0.053378      -0.02%       509.48 ms/ev ->       482.99 ms/ev lowPtTripletStepTrackCandidates
   +0.052359      +0.00%        47.71 ms/ev ->        50.27 ms/ev highPtTripletStepSeeds
   +0.051835      +0.00%        40.63 ms/ev ->        42.79 ms/ev tofPID
   +0.051792      +0.01%       145.46 ms/ev ->       153.20 ms/ev offlinePrimaryVertices4DfastsimWithBS
   +0.051180      +0.01%       146.77 ms/ev ->       154.48 ms/ev offlinePrimaryVertices4Dfastsim
   -0.050445      -0.00%        31.91 ms/ev ->        30.34 ms/ev pfRecoTauTagInfoProducer
  ---------- ------------     --------                  ----       ------------
Job total:  135.031 s/ev ==> 134.829 s/ev

The same excluding the first 1 events
  delta/mean delta/orJob     original                   new       module name
  ---------- ------------     --------                  ----       ------------
   -1.861799      -0.00%         1.79 ms/ev ->         0.06 ms/ev uncleanedOnlyConversionTrackCandidates
   -1.355722      -0.00%         0.01 ms/ev ->         0.00 ms/ev highPtTripletStepTrackingRegions
   -1.071567      -0.00%         0.01 ms/ev ->         0.00 ms/ev interestingOotGamIsoDetIdEB
   -0.728812      -0.00%         1.75 ms/ev ->         0.82 ms/ev uncleanedOnlyElectronSeeds
   -0.505245      -6.95%     22957.00 ms/ev ->     13697.30 ms/ev AODSIMoutput
   -0.441122      -0.02%        83.10 ms/ev ->        53.07 ms/ev me0Segments
   -0.402686      -0.10%       404.52 ms/ev ->       268.93 ms/ev hgcalMultiClusters
   -0.366118      -0.00%         5.81 ms/ev ->         4.01 ms/ev dt4DSegments
   +0.357545      +0.00%         0.58 ms/ev ->         0.84 ms/ev muonSeededTrackCandidatesOutInDisplaced
   -0.357253      -0.00%         1.11 ms/ev ->         0.77 ms/ev uncleanedOnlyPfTrackElec
   -0.332239      -0.00%         5.54 ms/ev ->         3.96 ms/ev dt4DCosmicSegments
   +0.298017      +4.91%     18702.50 ms/ev ->     25252.10 ms/ev particleFlowClusterHGCal
   +0.274998      +0.01%        36.60 ms/ev ->        48.27 ms/ev siPixelRecHits
   +0.202491      +0.00%         1.67 ms/ev ->         2.04 ms/ev muonSeededSeedsOutInDisplaced
   -0.199193      -0.01%        55.68 ms/ev ->        45.59 ms/ev photonIDValueMaps
   +0.194474      +0.01%        79.62 ms/ev ->        96.77 ms/ev conversionTrackCandidates
   +0.193535      +0.00%         7.69 ms/ev ->         9.34 ms/ev muonsFromCosmics1Leg
   -0.192969      -0.00%        10.14 ms/ev ->         8.36 ms/ev conversions
   +0.183610      +0.01%        37.40 ms/ev ->        44.97 ms/ev HGCalUncalibRecHit
   +0.183063      +0.00%        13.37 ms/ev ->        16.07 ms/ev muonsFromCosmics
   -0.147750      -0.00%        11.21 ms/ev ->         9.66 ms/ev particleFlow
   -0.136190      -0.01%       128.74 ms/ev ->       112.32 ms/ev particleFlowRecHitHBHE
   +0.129646      +0.00%        45.57 ms/ev ->        51.89 ms/ev tevMuons
   +0.128495      +0.00%        34.42 ms/ev ->        39.15 ms/ev cosmicsVetoTrackCandidates
   +0.123678      +0.01%       150.37 ms/ev ->       170.19 ms/ev cosmicMuons1Leg
   -0.122563      -0.00%        13.03 ms/ev ->        11.53 ms/ev mtdClusters
   +0.117065      +0.00%        44.95 ms/ev ->        50.54 ms/ev HGCalRecHit
   +0.116884      +0.01%        55.59 ms/ev ->        62.49 ms/ev globalMuons
   +0.114977      +0.00%        13.29 ms/ev ->        14.91 ms/ev hgcalTrackCollection
   +0.111290      +0.01%       112.54 ms/ev ->       125.81 ms/ev cosmicMuons
   -0.109410      -0.00%        15.77 ms/ev ->        14.13 ms/ev electronMergedSeeds
   +0.104666      +0.00%        41.15 ms/ev ->        45.70 ms/ev refittedStandAloneMuons
   +0.103861      +0.00%        35.89 ms/ev ->        39.82 ms/ev standAloneMuons
   +0.103337      +0.00%        46.43 ms/ev ->        51.49 ms/ev ak4TrackJets
   +0.100378      +0.01%       107.18 ms/ev ->       118.51 ms/ev lowPtQuadStepSeeds
   -0.089722      -0.00%        14.11 ms/ev ->        12.89 ms/ev towerMakerWithHO
   +0.086685      +0.01%        99.59 ms/ev ->       108.61 ms/ev detachedQuadStepHitDoublets
   -0.080802      -0.00%         9.00 ms/ev ->         8.30 ms/ev photonsFromMultiCl
   +0.079502      +0.00%         5.97 ms/ev ->         6.47 ms/ev photonCoreFromMultiCl
   -0.078606      -0.00%        14.66 ms/ev ->        13.55 ms/ev towerMaker
   -0.078585      -0.01%       201.96 ms/ev ->       186.69 ms/ev combinatoricRecoTaus
   -0.077734      -0.01%       154.00 ms/ev ->       142.47 ms/ev pixelPairStepTrackCandidates
   +0.072747      +0.05%       822.63 ms/ev ->       884.74 ms/ev electronCkfTrackCandidatesFromMultiCl
   -0.072594      -0.00%         8.09 ms/ev ->         7.52 ms/ev photons
   +0.070039      +0.00%        19.60 ms/ev ->        21.02 ms/ev generalTracks
   -0.068015      -0.00%         5.69 ms/ev ->         5.31 ms/ev uncleanedHybridSuperClusters
   +0.067618      +0.00%        73.95 ms/ev ->        79.13 ms/ev displacedStandAloneMuons
   +0.065007      +0.01%       109.67 ms/ev ->       117.04 ms/ev inclusiveVertexFinder
   +0.064467      +0.00%        33.60 ms/ev ->        35.84 ms/ev detachedQuadStepSeeds
   -0.064218      -0.04%       927.43 ms/ev ->       869.72 ms/ev highPtTripletStepTrackCandidates
   -0.063148      -0.05%      1135.18 ms/ev ->      1065.69 ms/ev particleFlowDisplacedVertex
   -0.062715      -0.00%        57.32 ms/ev ->        53.84 ms/ev trackTimeValueMapProducer
